"filename", "language", "C#", "XML", "Draw.io", "comment", "blank", "total"
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Classes.drawio", "Draw.io", 0, 0, 53, 0, 0, 53
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Develop02.csproj", "XML", 0, 8, 0, 0, 4, 12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\DisplayMenu.cs", "C#", 0, 0, 0, 9, 3, 12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Entry.cs", "C#", 8, 0, 0, 1, 3, 12
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Journal.cs", "C#", 70, 0, 0, 2, 17, 89
"c:\Users\Yarko\OneDrive\Documentos\BYU\CSE 210 Programming with Classes\cse210-projects\prove\Develop02\Program.cs", "C#", 124, 0, 0, 17, 18, 159
"Total", "-", 202, 8, 53, 29, 45, 337
